Date,Open,High,Low,Close,Adj Close,Volume
2016-01-28,171.399994,179.259995,171.009995,177.380005,174.387955,47800
2016-01-29,178.779999,180.580002,174.160004,175.899994,172.932907,43800
2016-02-01,174.500000,176.000000,173.610001,173.610001,170.681534,29200
2016-02-02,169.429993,172.220001,162.449997,162.610001,159.867081,52600
2016-02-03,163.270004,169.130005,162.500000,163.169998,160.417664,39800
2016-02-04,163.169998,166.259995,158.880005,160.250000,157.546875,35200
2016-02-05,161.199997,161.380005,155.039993,155.500000,152.877014,69200
2016-02-08,154.460007,157.080002,150.259995,156.250000,153.614365,62400
2016-02-09,155.649994,166.610001,151.369995,163.929993,161.164810,45100
2016-02-10,166.080002,172.039993,159.610001,160.009995,157.310959,19200
2016-02-11,158.039993,160.729996,155.500000,160.240005,157.537064,27400
2016-02-12,162.850006,164.960007,161.949997,163.279999,160.525787,34900
2016-02-16,163.740005,165.210007,162.229996,164.789993,162.010315,60900
2016-02-17,165.300003,170.970001,165.000000,169.149994,166.296768,59900
2016-02-18,169.190002,171.809998,165.410004,168.720001,165.874008,44400
2016-02-19,169.979996,177.990005,168.729996,177.000000,174.014359,46800
2016-02-22,178.000000,179.050003,167.639999,167.970001,165.136688,130700
2016-02-23,168.710007,173.750000,164.190002,171.190002,168.302368,127300
2016-02-24,169.690002,174.000000,169.690002,173.229996,170.307938,52100
2016-02-25,174.199997,179.770004,172.520004,176.690002,173.709579,70700
2016-02-26,176.240005,177.559998,171.979996,173.619995,170.691376,57100
2016-02-29,173.020004,176.059998,172.050003,174.720001,171.772827,77100
2016-03-01,176.470001,179.860001,175.610001,178.199997,175.194092,93100
2016-03-02,178.160004,179.550003,172.029999,173.300003,170.376755,90900
2016-03-03,172.720001,177.860001,172.110001,177.610001,174.614044,107700
2016-03-04,177.770004,177.770004,175.250000,176.869995,173.886536,45200
2016-03-07,176.860001,180.970001,176.210007,178.169998,175.164612,78400
2016-03-08,177.360001,180.490005,176.039993,178.089996,175.085983,36000
2016-03-09,178.399994,179.860001,176.600006,178.100006,175.095825,30600
2016-03-10,184.199997,184.199997,175.190002,178.119995,175.115448,27000
2016-03-11,179.750000,180.279999,175.000000,175.850006,172.883759,31000
2016-03-14,176.850006,176.899994,171.729996,173.029999,170.111313,33900
2016-03-15,173.039993,173.039993,166.119995,169.149994,166.296768,41300
